"filename", "language", "XML", "Swift", "YAML", "JSON", "Markdown", "C++", "Dart", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"/Users/simonwachtler/digitales-register/lib/actions/dashboard_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 13, 74
"/Users/simonwachtler/digitales-register/lib/actions/grades_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 15, 86
"/Users/simonwachtler/digitales-register/lib/actions/login_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 1, 16, 107
"/Users/simonwachtler/digitales-register/lib/actions/messages_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"/Users/simonwachtler/digitales-register/lib/actions/notifications_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"/Users/simonwachtler/digitales-register/lib/actions/profile_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 7, 34
"/Users/simonwachtler/digitales-register/lib/actions/routing_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 7, 45
"/Users/simonwachtler/digitales-register/lib/actions/save_pass_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"/Users/simonwachtler/digitales-register/lib/actions/settings_actions.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"/Users/simonwachtler/digitales-register/lib/app_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 311, 0, 0, 0, 8, 43, 362
"/Users/simonwachtler/digitales-register/lib/container/absence_group_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 6, 82
"/Users/simonwachtler/digitales-register/lib/container/absences_page_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"/Users/simonwachtler/digitales-register/lib/container/calendar_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"/Users/simonwachtler/digitales-register/lib/container/calendar_week_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 10, 62
"/Users/simonwachtler/digitales-register/lib/container/certificate_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"/Users/simonwachtler/digitales-register/lib/container/change_email_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"/Users/simonwachtler/digitales-register/lib/container/chart_legend_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/simonwachtler/digitales-register/lib/container/chart_legend_entry_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"/Users/simonwachtler/digitales-register/lib/container/days_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 2, 12, 133
"/Users/simonwachtler/digitales-register/lib/container/drawer_buttons.dart", "Dart", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 15, 135
"/Users/simonwachtler/digitales-register/lib/container/grades_chart_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 10, 63
"/Users/simonwachtler/digitales-register/lib/container/grades_page_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 9, 79
"/Users/simonwachtler/digitales-register/lib/container/home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 43
"/Users/simonwachtler/digitales-register/lib/container/homework_filter_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
